32   0.000000 0.062500 14
33 ! 0.062500 0.125000 14
34 " 0.125000 0.187500 14
35 # 0.187500 0.250000 14
36 $ 0.250000 0.312500 14
37 % 0.312500 0.375000 14
38 & 0.375000 0.437500 14
39 ' 0.437500 0.500000 14
40 ( 0.500000 0.562500 14
41 ) 0.562500 0.625000 14
42 * 0.625000 0.687500 14
43 + 0.687500 0.750000 14
44 , 0.750000 0.812500 14
45 - 0.812500 0.875000 14
46 . 0.875000 0.937500 14
47 / 0.937500 1.000000 14
48 0 0.000000 0.062500 14
49 1 0.062500 0.125000 14
50 2 0.125000 0.187500 14
51 3 0.187500 0.250000 14
52 4 0.250000 0.312500 14
53 5 0.312500 0.375000 14
54 6 0.375000 0.437500 14
55 7 0.437500 0.500000 14
56 8 0.500000 0.562500 14
57 9 0.562500 0.625000 14
58 : 0.625000 0.687500 14
59 ; 0.687500 0.750000 14
60 < 0.750000 0.812500 14
61 = 0.812500 0.875000 14
62 > 0.875000 0.937500 14
63 ? 0.937500 1.000000 14
64 @ 0.000000 0.062500 14
65 A 0.062500 0.125000 14
66 B 0.125000 0.187500 14
67 C 0.187500 0.250000 14
68 D 0.250000 0.312500 14
69 E 0.312500 0.375000 14
70 F 0.375000 0.437500 14
71 G 0.437500 0.500000 14
72 H 0.500000 0.562500 14
73 I 0.562500 0.625000 14
74 J 0.625000 0.687500 14
75 K 0.687500 0.750000 14
76 L 0.750000 0.812500 14
77 M 0.812500 0.875000 14
78 N 0.875000 0.937500 14
79 O 0.937500 1.000000 14
80 P 0.000000 0.062500 14
81 Q 0.062500 0.125000 14
82 R 0.125000 0.187500 14
83 S 0.187500 0.250000 14
84 T 0.250000 0.312500 14
85 U 0.312500 0.375000 14
86 V 0.375000 0.437500 14
87 W 0.437500 0.500000 14
88 X 0.500000 0.562500 14
89 Y 0.562500 0.625000 14
90 Z 0.625000 0.687500 14
91 [ 0.687500 0.750000 14
92 \ 0.750000 0.812500 14
93 ] 0.812500 0.875000 14
94 ^ 0.875000 0.937500 14
95 _ 0.937500 1.000000 14
96 ` 0.000000 0.062500 14
97 a 0.062500 0.125000 14
98 b 0.125000 0.187500 14
99 c 0.187500 0.250000 14
100 d 0.250000 0.312500 14
101 e 0.312500 0.375000 14
102 f 0.375000 0.437500 14
103 g 0.437500 0.500000 14
104 h 0.500000 0.562500 14
105 i 0.562500 0.625000 14
106 j 0.625000 0.687500 14
107 k 0.687500 0.750000 14
108 l 0.750000 0.812500 14
109 m 0.812500 0.875000 14
110 n 0.875000 0.937500 14
111 o 0.937500 1.000000 14
112 p 0.000000 0.062500 14
113 q 0.062500 0.125000 14
114 r 0.125000 0.187500 14
115 s 0.187500 0.250000 14
116 t 0.250000 0.312500 14
117 u 0.312500 0.375000 14
118 v 0.375000 0.437500 14
119 w 0.437500 0.500000 14
120 x 0.500000 0.562500 14
121 y 0.562500 0.625000 14
122 z 0.625000 0.687500 14
123 { 0.687500 0.750000 14
124 | 0.750000 0.812500 14
125 } 0.812500 0.875000 14
126 ~ 0.875000 0.937500 14
